player_id,player_name,pos,team,n,overall_avg,overall_sd,pos_avg,pos_sd,overall_min,overall_max,pos_min,pos_max
1689,Adam Thielen,WR,CAR,25,91.96,9.86,32.36,5.83,68,108,18,40
6151,Miles Sanders,RB,CAR,25,93.64,11.05,28.28,3.06,75,118,24,36
7525,DeVonta Smith,WR,PHI,25,95.88,7.18,34.28,3.51,81,112,27,41
5890,Damien Harris,RB,BUF,25,96.4,12.2,28.88,3.07,81,127,24,38
7538,Zach Wilson,QB,NYJ,25,97.84,17.36,23.68,2.08,75,127,21,28
7596,Elijah Moore,WR,CLE,25,97.84,9.7,35.16,4.17,77,114,25,41
5955,Hunter Renfrow,WR,LV,25,98.24,9.45,35.28,4.54,74,114,21,41
3199,Michael Thomas,WR,NO,25,98.28,16.51,35.2,7.69,73,152,23,58
8151,Kenneth Walker,RB,SEA,25,98.6,17.75,29.24,4.67,48,132,15,38
5967,Tony Pollard,RB,DAL,25,98.84,7.86,29.32,2.01,86,118,26,34
6820,Clyde Edwards-Helaire,RB,KC,25,99.04,9.93,29.72,3.05,85,122,26,36
8112,Drake London,WR,ATL,25,99.6,12.8,35.76,5.44,82,137,27,49
6826,Cole Kmet,TE,CHI,25,102.96,18.9,12,1.58,61,126,8,14
4098,Kareem Hunt,RB,NA,25,103.84,9.92,30.8,2.25,86,121,27,35
7600,Pat Freiermuth,TE,PIT,25,104.16,17.14,11.68,1.52,63,129,8,14
1426,DeAndre Hopkins,WR,NA,25,104.44,12.89,38.12,5.36,79,128,27,51
1535,Cordarrelle Patterson,RB,ATL,25,107.6,14.42,32.4,4.21,73,131,22,38
8135,Treylon Burks,WR,TEN,25,108.4,13.31,39.48,5.43,87,144,29,49
3163,Jared Goff,QB,DET,25,108.6,19.19,25.12,2.13,62,134,20,28
4985,Rashaad Penny,RB,PHI,25,109.92,9.93,32.92,2.61,95,139,28,40
7585,Davis Mills,QB,HOU,25,111.32,29.42,25.4,4.51,11,135,8,29
5110,Russell Gage,WR,TB,25,111.64,12.01,41.04,4.81,89,138,32,51
5000,Chase Edmonds,RB,TB,25,111.72,12.32,33.6,3.37,83,128,26,39
5870,Daniel Jones,QB,NYG,25,111.8,18.2,25.52,2,74,152,22,29
5185,Allen Lazard,WR,NYJ,25,111.96,11.23,41.4,4,94,137,34,47
4993,Mike Gesicki,TE,NE,25,112.12,17.22,13,1.85,85,138,10,16
6130,Devin Singletary,RB,HOU,25,112.76,11.61,33.6,3.07,93,139,29,41
4017,Deshaun Watson,QB,CLE,25,113.16,28.97,26.2,3.96,64,162,20,33
4950,Christian Kirk,WR,JAX,25,113.92,9.84,41.96,3.68,100,135,36,49
